time,seconds_elapsed,z,y,x
1745781929310650600,0.024650634765625,0.341655967131257,-0.36696781078130003,-0.3736366210207343
1745781929320623600,0.03462353515625,-0.041920156362652776,-0.4604617947757244,-0.7482686828196048
1745781929330596400,0.044596435546875,-0.6686614776194095,-0.6204378371983766,-0.6945831237308681
1745781929340569600,0.054569580078125,-1.294644089463353,-0.6260907483935356,-0.422694410710968
1745781929350543600,0.064543701171875,-1.7589292419195175,-0.5749529740914702,-0.15900544382482767
1745781929360516600,0.0745166015625,-1.9838976887345312,-0.5245286087557673,0.023173406849242746
1745781929370489600,0.084489501953125,-1.9425170460760592,-0.4139953732855618,0.017349011544696986
1745781929380462300,0.09446240234375,-1.6601614091753958,-0.20368556642010807,-0.02146817383393645
1745781929390435600,0.104435546875,-1.163292083978653,0.08042071354016661,-0.09091251613385974
1745781929400409300,0.114409423828125,-0.6560907498598099,0.3518219718366861,-0.2874072942670435
1745781929410382600,0.124382568359375,-0.2886240496456623,0.5763162252686918,-0.30184969765003766
1745781929420355600,0.13435546875,-0.001692190870642662,0.7265539868786931,-0.23589929841309784
1745781929430328600,0.14432861328125,0.3433399746954441,0.8975259089596569,-0.1524214623246342
1745781929440302600,0.154302490234375,0.7737970918297767,1.0490377821587025,0.010934650990366935
1745781929450275300,0.164275390625,1.2468226001024245,1.2151996736094355,0.12122377550639211
1745781929460248600,0.17424853515625,1.7437866178452968,1.4196103394336999,0.12827661662735043
1745781929470221600,0.1842216796875,2.2921809630960226,1.5846400119841098,0.11935520515553652
1745781929480195600,0.194195556640625,2.8047797723442316,1.8235611424364149,0.02868007797412574
1745781929490168600,0.20416845703125,3.2864696485877034,2.066111130910367,-0.15254669613949953
1745781929500141600,0.2141416015625,3.756269765073061,2.2683251634731887,-0.31110081600025297
1745781929510114300,0.2241142578125,4.327598995709419,2.4302137615188957,-0.41449280141368505
1745781929520088300,0.23408837890625,5.038409177750348,2.58447844055742,-0.4903254565112293
1745781929530061600,0.2440615234375,5.835592990386486,2.7831059929355977,-0.5630418792843819
1745781929540034600,0.25403466796875,6.895264540892839,2.799582203701138,-0.4068086766518652
1745781929550007600,0.264007568359375,7.679923802998662,3.0930370345041154,-1.136139288637042
1745781929559981600,0.273981689453125,7.9595684273749585,3.3896903690874574,-1.6449290609911082
1745781929569954600,0.28395458984375,8.285153549671172,3.7014725914806124,-1.448626736690104
1745781929579927600,0.293927490234375,8.354700548627973,3.9613168291047214,-1.4600436182394623
1745781929589900500,0.303900634765625,8.266783780243992,4.056514402146637,-2.5261717975392934
1745781929599873500,0.31387353515625,8.466162443250417,3.881090030701458,-3.2549642109945416
1745781929609847600,0.32384765625,8.677626096326112,3.939929465422034,-3.0471126109361646
1745781929619820500,0.333820556640625,9.026100511300564,4.308028033798933,-2.2520389223217965
1745781929629793300,0.343793212890625,9.300098654222488,4.416131557904183,-1.6448896057635545
1745781929639766500,0.3537666015625,9.148724435928463,4.305875239679217,-1.0160574497073889
1745781929649740500,0.363740478515625,8.40757698329091,4.396493083715439,-0.3742828099697828
1745781929659713500,0.373713623046875,7.015650915727019,4.41536437292397,-0.08934533988237381
1745781929669686500,0.3836865234375,5.1497559215605255,4.213675094887614,-0.2531394792884588
1745781929679659500,0.393659423828125,3.3641830028653144,3.7252363289058206,-0.44822015284001826
1745781929689633500,0.403633544921875,2.2884803550124166,3.4654148876354096,-0.5501479109197854
1745781929699606500,0.4136064453125,1.8786025000482796,3.356592693866789,-0.3484025187820196
1745781929709580000,0.423580078125,1.8495605299592017,3.3493092588603495,0.4044026384234428
1745781929719553000,0.433552978515625,1.783313157069683,3.40818639524281,1.7794114734560251
