time,seconds_elapsed,z,y,x
1744475004426960000,0.1199599609375,2.084000569474697,0.3551258356876671,-0.8485555418245494
1744475004436957200,0.129957275390625,1.856900955849886,0.2803638785615563,-0.675003540122509
1744475004446954000,0.1399541015625,1.5243506707161665,0.27736659644171596,-0.5307912493471056
1744475004456951000,0.149950927734375,0.965136825287342,0.25057708145454527,-0.4106139872189611
1744475004466948900,0.159948974609375,0.22424247062802313,0.1666935141094029,-0.322792422837764
1744475004476946200,0.1699462890625,-0.4948042093604803,0.034122926615178586,-0.2281057584600523
1744475004486943000,0.17994287109375,-1.024630632263422,-0.0009359656758606434,-0.11372647855356335
1744475004496940000,0.18993994140625,-1.3519096989959478,-0.03941401876062155,0.0506053479257971
1744475004506937900,0.199937744140625,-1.5222189193844795,-0.1649275273501873,0.30937136185914277
1744475004516935200,0.20993505859375,-1.595984412819147,-0.37771526863649485,0.5457968030381948
1744475004526932000,0.219931884765625,-1.5379782140523195,-0.5869526239648462,0.7827167497359215
1744475004536930000,0.229929931640625,-1.3814689709573984,-0.7377376441940665,0.9920778775744139
1744475004546926800,0.2399267578125,-1.150246139922738,-0.8560577341482043,1.184765372379124
1744475004556924200,0.249924072265625,-1.0427817905038594,-1.0100471764419228,1.3471756562113761
1744475004566921000,0.2599208984375,-1.0554612393349407,-1.172363279184699,1.4497855513364075
1744475004576919000,0.2699189453125,-1.2852993380129336,-1.2720090638071297,1.4694184725672006
1744475004586916000,0.279916015625,-1.493789528235793,-1.3294848089590667,1.5877268720835447
1744475004596913200,0.2899130859375,-1.6051871254503727,-1.4112373556248843,1.8126394970580935
1744475004606911000,0.299910888671875,-1.7410253364384174,-1.4742952848233282,2.0896502657994627
1744475004616908000,0.309907958984375,-1.7226117278695106,-1.5169725431635974,2.340250289738178
1744475004626905000,0.319905029296875,-1.551809755527973,-1.6806965399429201,2.5268811148524284
1744475004636902100,0.329902099609375,-1.2864660437047482,-1.9360157013580201,2.584118082812428
1744475004646900000,0.33989990234375,-1.0463210705459118,-2.192721056434512,2.532605045457184
1744475004656897000,0.34989697265625,-0.8764847283661364,-2.445019847115129,2.3857493275009096
1744475004666894000,0.35989404296875,-0.8133768225461244,-2.6933774989545345,2.274330249106884
1744475004676891100,0.36989111328125,-0.9170154761970043,-2.897010896795988,2.1935876101359724
1744475004686889000,0.379888916015625,-1.1427426324248313,-2.9296026683211327,2.0796521650068462
1744475004696886000,0.389885986328125,-1.2851035231798886,-2.8628952767044304,2.0194199607536194
1744475004706883000,0.399883056640625,-1.210683365228772,-2.875495522819459,2.0729558822385967
1744475004716881200,0.409881103515625,-1.0451859290361403,-3.0274013637721535,2.2008159539543093
1744475004726878000,0.4198779296875,-0.9178653710246085,-3.2124335215181112,2.314110763092339
1744475004736875000,0.429875,-0.8833914390146732,-3.3245918739721176,2.4376408427797256
1744475004746872000,0.4398720703125,-1.0131710806161165,-3.3825510187268257,2.464310676909983
1744475004756870100,0.4498701171875,-1.162680089560151,-3.3980960861220955,2.461949500736594
1744475004766867000,0.459866943359375,-1.2877952464818954,-3.38476226503551,2.4817612856656313
1744475004776864000,0.469864013671875,-1.271758888438344,-3.3336507942184803,2.5783178721010684
1744475004786861000,0.479861083984375,-1.1243611725598572,-3.270718244965374,2.701917948284745
1744475004796859100,0.489859130859375,-0.9045493778556585,-3.220540840128064,2.8325103675737977
1744475004806856200,0.499856201171875,-0.7103618537515402,-3.1759216539397834,2.847369790792465
1744475004816853000,0.50985302734375,-0.6138643040269612,-3.1319995101049543,2.784585710099339
1744475004826851000,0.51985107421875,-0.5743564695030451,-3.1173098904952403,2.6672525853559375
1744475004836848000,0.52984814453125,-0.6841407863020896,-3.1749720981299876,2.640508663076162
1744475004846845200,0.53984521484375,-0.9893886384904385,-3.2802538428127765,2.7178549376070498
1744475004856842000,0.549842041015625,-1.3043150041282177,-3.2419130062416195,2.854924736216664
1744475004866840000,0.559840087890625,-1.4778075307279825,-3.092852617847919,2.948225535726547
1744475004876837000,0.569837158203125,-1.5068915863931178,-2.840096584919095,3.010303513976931
1744475004886834200,0.579834228515625,-1.5779092424243688,-2.4369480382099744,2.823825833597779
1744475004896832000,0.58983203125,-1.8283593364983797,-2.009381381820142,2.412716975533962
1744475004906829000,0.5998291015625,-2.274231464907527,-1.7503905461549758,2.065897780420631
1744475004916826000,0.609826171875,-3.043883712017536,-1.7320771830901502,1.8859822350360451
1744475004926823200,0.6198232421875,-4.254681059014797,-1.7552777336746452,1.7322494709171354
1744475004936821000,0.629821044921875,-5.6482356045633555,-1.3776941285938025,1.3788063276194036
1744475004946818000,0.639818115234375,-6.595528145602345,-0.727278282565251,0.9387089832194149
1744475004956815000,0.649815185546875,-6.905515885794163,-0.07815216581998392,0.6725622844502329
1744475004966812200,0.659812255859375,-6.665663173580169,0.3515742076206952,0.6448794738851488
1744475004976810000,0.66981005859375,-6.052191083741188,0.5236005341254174,0.7925144325856119
1744475004986807000,0.67980712890625,-5.238811923107504,0.40860472975578155,1.1566496502894907
1744475004996804000,0.68980419921875,-4.423654646885395,0.25617143086288124,1.4654370017156004
1744475005006802200,0.69980224609375,-3.640743105229735,0.35552232419196517,1.4314172432139516
1744475005016799000,0.709799072265625,-2.912760839113593,0.605808131082356,1.1030451205477119
1744475005026796000,0.719796142578125,-2.2254560358226296,0.7940316322155296,0.7897014940567314
1744475005036793000,0.72979296875,-1.5832617093682289,0.8160434114068746,0.6240848884638398
1744475005046791200,0.739791259765625,-1.0263251612216233,0.7594151499297469,0.5468704966843128
