time,seconds_elapsed,z,y,x
1746476111119573800,0.06657373046875,1.3103320724606513,-0.813345842885971,-1.284993486934155
1746476111129571000,0.076571044921875,1.302872404104471,-0.8156029741629958,-1.0000544094115495
1746476111139566800,0.08656689453125,1.2385235583126544,-0.7979127114325761,-0.7232537762895226
1746476111149564000,0.09656396484375,1.2235890240311622,-0.7190484335541725,-0.4451780451977625
1746476111159560000,0.106559814453125,1.2025941667973994,-0.6870899914965033,-0.24103472507279364
1746476111169556000,0.116555908203125,1.1756003614097832,-0.6952300433322787,-0.13618220212012527
1746476111179553000,0.126552978515625,1.136549623003602,-0.6922950127936899,-0.08651548675131052
1746476111189549000,0.136549072265625,1.0110586185067891,-0.6929295113049447,-0.03727941788472235
1746476111199545900,0.1465458984375,0.8123720294177532,-0.7332230893790721,0.034608974832762034
1746476111209542100,0.156542236328125,0.5955997485399246,-0.790649588561803,0.07840796721195802
1746476111219538000,0.166537841796875,0.34640345391929145,-0.805610718589276,0.1076375140286982
1746476111229535000,0.176534912109375,0.21153379570245742,-0.845405407230556,0.13366698616249487
1746476111239531000,0.186531005859375,0.14800328055620193,-0.9457279220707714,0.14495335493367165
1746476111249527000,0.196527099609375,0.12217968799173831,-1.0695758355356753,0.1551077057339251
1746476111259523800,0.20652392578125,0.21153554926812648,-1.1754217899724841,0.16151141703007743
1746476111269520100,0.21652001953125,0.3396393666118383,-1.2140890820190309,0.1652243366059847
1746476111279517000,0.226516845703125,0.4598194052189588,-1.2359651060014962,0.2261719225869514
1746476111289513000,0.236512939453125,0.521893876338005,-1.2814853326827287,0.21991470708940178
1746476111299509000,0.246509033203125,0.5312719455361365,-1.2903190658710897,0.2363708249149844
1746476111309506000,0.256506103515625,0.4362497290611267,-1.256163552160561,0.31748781362362205
1746476111319501800,0.266501708984375,0.11767594683170318,-1.2513514757037163,0.31814284346625205
1746476111329497900,0.276497802734375,-0.2633604290515184,-1.1687775296524165,0.30876689315997063
1746476111339495000,0.286494873046875,-0.5678238528639078,-1.0519405178628862,0.24041768915299325
1746476111349491000,0.296490966796875,-0.6065057579576969,-0.9120331577397882,0.1333715468798764
1746476111359488000,0.306488037109375,-0.6105068102926016,-0.8225527933008968,0.05824871141896583
1746476111369484000,0.316484130859375,-0.5846937391221523,-0.8287196453675627,0.032986771325254814
1746476111379479800,0.326479736328125,-0.5069295314401387,-0.9246469939887523,0.024344350324757395
1746476111389477000,0.33647705078125,-0.40647418400049207,-1.093955659032613,0.00056903205960989
1746476111399473000,0.346472900390625,-0.2385609188377857,-1.2897317675024271,0.01596579529168084
1746476111409470000,0.356469970703125,-0.12317980494499206,-1.493088394229114,0.14794464570414273
1746476111419466000,0.366466064453125,-0.10013093779087066,-1.588614176312089,0.2913386058339849
1746476111429462000,0.3764619140625,-0.03992459863126278,-1.6222081106171011,0.2891791993103921
1746476111439458800,0.386458740234375,0.014729951620101928,-1.6875652566686272,0.09296612419541925
1746476111449455000,0.396455078125,0.0021586393386125564,-1.7460878805249929,-0.1515041648166254
1746476111459451000,0.406450927734375,-0.008034253373742103,-1.6167890081778167,-0.04789630816280842
1746476111469448000,0.416447998046875,-0.1598603070884943,-1.5438675643518567,0.14426142714675516
1746476111479444000,0.42644384765625,-0.38275954641401766,-1.632149074395001,0.3192953379696235
1746476111489441000,0.43644091796875,-0.6299895093977451,-1.6562267000749706,0.5004204418070614
1746476111499436800,0.446436767578125,-0.8744593600183724,-1.6067425381988285,0.5674937806593254
1746476111509433000,0.45643310546875,-1.074916465911269,-1.4905015926063059,0.5195277317285537
1746476111519430000,0.466429931640625,-1.1615618991851806,-1.3137991640493274,0.49092141311038284
1746476111529426000,0.476426025390625,-1.1859972522616387,-1.2109978380054234,0.4382463827710599
1746476111539423000,0.486423095703125,-1.062469656792283,-1.58024762224406,0.3749429909115657
1746476111549419000,0.4964189453125,-0.5948708497434854,-1.9687442510053514,0.4901536801408976
1746476111559414800,0.506414794921875,-0.05717968481481075,-1.7154264925405383,0.6629176002051681
1746476111569412000,0.516412109375,0.3370920202165842,-1.021124377708137,0.5569058607473969
1746476111579408000,0.526407958984375,0.2915203556090593,-0.37542145861089227,0.1870124448429793
1746476111589404000,0.53640380859375,-0.5007096340119839,-0.015293138460814952,-0.10625526589006185
1746476111599401000,0.54640087890625,-1.7598317437171935,0.23081863414794204,-0.1749336653187871
1746476111609397000,0.55639697265625,-2.9760727430731055,0.6122650521367788,-0.22280352386608718
1746476111619393800,0.566393798828125,-3.8303146599709987,1.102201655460894,-0.33417657116129995
1746476111629390000,0.57639013671875,-4.259890902617573,1.5299626653790472,-0.5132549350693821
1746476111639385900,0.5863857421875,-4.197426555398106,1.8658312812805176,-0.7064144313000142
1746476111649383000,0.5963828125,-3.6992590070843696,2.0451213882431385,-0.7491723536610603
1746476111659379000,0.60637890625,-2.8255209470778704,2.0932199409797785,-0.6622893853042274
1746476111669376000,0.6163759765625,-1.840109980046749,2.0285440551906824,-0.5000715918367729
1746476111679371800,0.626371826171875,-0.8797311629414558,1.7911857901409267,-0.33870537369735537
1746476111689368000,0.6363681640625,-0.018418869265913962,1.5346970004245637,-0.13513817295990885
1746476111699364900,0.64636474609375,0.8045236540049314,1.3873901776999233,0.011499518331512809
1746476111709361000,0.65636083984375,1.534463483929634,1.328953186300397,0.09838723592869937
1746476111719357000,0.66635693359375,2.1106389855533836,1.2942659038007258,0.13615626396127045
1746476111729354000,0.67635400390625,2.4840865137428043,1.2267922039866446,0.23973712301030753
