time,seconds_elapsed,z,y,x
1746481727859286800,0.605286865234375,-0.17000994518101215,-0.21692513335198163,0.3072464786596596
1746481727869283000,0.615282958984375,-0.14675065014660357,-0.21555209143310783,0.39854507150165736
1746481727879280000,0.625280029296875,-0.09997253235876559,-0.24434680876284837,0.4703627918694168
1746481727889276000,0.63527587890625,-0.08686930515766143,-0.2866613712705672,0.5057468975268304
1746481727899273200,0.645273193359375,-0.0690589231789112,-0.3053513125628233,0.4790691723510623
1746481727909269000,0.65526904296875,-0.04821370354890823,-0.3079639792792499,0.4569250720169395
1746481727919266000,0.66526611328125,-0.03123743430674076,-0.3273854497164488,0.38973398853652175
1746481727929262000,0.675261962890625,-0.09706745856702327,-0.3187288266606629,0.30317104591429234
1746481727939259100,0.685259033203125,-0.14444529581367968,-0.2756055781185627,0.2428240561749786
1746481727949255000,0.6952548828125,-0.1546270826101303,-0.19247735918536782,0.18330292280055582
1746481727959252200,0.705252197265625,-0.09529109654426574,-0.07174085573926568,0.11832045528031884
1746481727969248000,0.715248046875,-0.003949614408612251,0.009527122280001639,0.06095774204879999
1746481727979245300,0.725245361328125,0.03944412163794041,0.02842252301648259,0.027701003808900712
1746481727989241000,0.735240966796875,0.023766075512766837,-0.0037524844013154504,0.019902678082883356
1746481727999238000,0.74523779296875,-0.08300736903250217,-0.023637334566563365,0.01585164912641048
1746481728009234000,0.75523388671875,-0.2092559138983488,0.004154050939530134,-0.08198745140023529
1746481728019231000,0.76523095703125,-0.307768895098567,0.07416486801579594,-0.1992924460276961
1746481728029227000,0.77522705078125,-0.3466857779920101,0.17337532996088265,-0.28499431484118104
1746481728039224000,0.78522412109375,-0.3391775943189859,0.26859979100972414,-0.33044089176431296
1746481728049220000,0.79522021484375,-0.29558804343938827,0.3585631166599691,-0.31872451581172645
1746481728059217000,0.805216796875,-0.2243833404034376,0.39298926400542256,-0.2564112675007433
1746481728069213200,0.815213134765625,-0.12354103947281837,0.36537075084820386,-0.22597155944295227
1746481728079210000,0.8252099609375,-0.05408522593080997,0.3289990223929286,-0.20862192684374747
1746481728089206000,0.8352060546875,0.040000001955032345,0.2977925677463412,-0.23289836303144693
1746481728099203000,0.845203125,0.11573942581117153,0.28900837278813124,-0.3316638576880097
1746481728109199000,0.85519921875,0.21027239746451376,0.3094472035743296,-0.39563882866613564
1746481728119196200,0.865196044921875,0.3265951761215925,0.2883956477172673,-0.39461766892485317
1746481728129192200,0.875192138671875,0.45170565686821934,0.24806246828511355,-0.3091819037016481
1746481728139189000,0.88518896484375,0.5973270107239484,0.18988953464925287,-0.1961234606027603
1746481728149185300,0.895185302734375,0.6464823790371418,0.09577698036506771,-0.03230272545069456
1746481728159182000,0.90518212890625,0.5921639288723468,-0.03237140677273273,0.12318243529349565
1746481728169178000,0.91517822265625,0.41287995938956734,-0.18187866215109824,0.22298815971799194
1746481728179175200,0.925175048828125,0.18293255511820317,-0.3182714382819831,0.2671009307540953
1746481728189171200,0.935171142578125,-0.035836452534794803,-0.3733252169840038,0.2852068616133183
1746481728199168000,0.94516796875,-0.2061450884014368,-0.3501731817163527,0.2734530762597918
1746481728209164000,0.9551640625,-0.2905670004069805,-0.3410881041154265,0.30633323627226056
1746481728219161000,0.9651611328125,-0.3166729170441627,-0.342804844905436,0.33103871152698994
1746481728229156900,0.975156982421875,-0.32150457498431206,-0.37474750487208364,0.3671173022545874
1746481728239154200,0.985154296875,-0.34790392161011696,-0.4541524654984474,0.43557899019271135
1746481728249150000,0.99514990234375,-0.43086686697900295,-0.546914920347929,0.4879868940284475
1746481728259147300,1.005147216796875,-0.5119377149909734,-0.6026685178823769,0.49150352384727447
1746481728269143000,1.01514306640625,-0.6047440089821815,-0.5787576270714402,0.4542685661587864
1746481728279140000,1.02514013671875,-0.6928904944688081,-0.5084694543585181,0.386622213191539
1746481728289136000,1.03513623046875,-0.7367021636664867,-0.4478247237816453,0.38898185499496757
1746481728299133200,1.04513330078125,-0.7401935129135847,-0.45663931387811896,0.43423773165158924
1746481728309129000,1.05512890625,-0.683584321463108,-0.5630054927967488,0.4926650053746998
1746481728319126000,1.0651259765625,-0.6578074906498194,-0.7217198447205125,0.5515256655463948
1746481728329122000,1.0751220703125,-0.6921990050733089,-0.8515000708438456,0.5969422126574442
1746481728339118800,1.085118896484375,-0.792802821072936,-0.9896377909459173,0.6521550178460777
1746481728349115100,1.095115234375,-1.0393728588432074,-1.1279805321007967,0.7804107378158718
1746481728359112000,1.10511181640625,-1.3030296404927968,-1.1740263900913297,0.8808233420923351
1746481728369109200,1.115109130859375,-1.393442901867628,-1.1433210168346761,0.9295327932689338
1746481728379105000,1.12510498046875,-1.2623679597586392,-1.0986647135064005,0.94124975374341
1746481728389102000,1.13510205078125,-0.9782482357949018,-0.9878007847771048,0.8608085088718682
1746481728399098000,1.14509814453125,-0.6114116501778364,-0.8595273099549114,0.6971771588120609
1746481728409095200,1.15509521484375,-0.29172786087989805,-0.7540097106896341,0.4550644657768309
1746481728419091000,1.165091064453125,-0.07380582544505596,-0.6567799011677503,0.20282502233432606
1746481728429088000,1.175087890625,0.05497779085636138,-0.5722282253026962,-0.0760130166331306
1746481728439084000,1.185083984375,0.1248293257176876,-0.46774581430405376,-0.29358236617278305
1746481728449081000,1.1950810546875,0.11335925267636775,-0.3877881882309913,-0.2648151213718578
1746481728459077000,1.2050771484375,0.05536006817221641,-0.25664427253901956,-0.12680631574592552
1746481728469074000,1.215073974609375,0.02716565482318401,-0.0625388737604022,0.04354067936972715
